pecha id,language,url
PB24DB784,en,https://github.com/OpenPecha/PB24DB784
PCAE77C13,de,https://github.com/OpenPecha/PCAE77C13
PE0745FD7,es,https://github.com/OpenPecha/PE0745FD7
PB1458D48,fr,https://github.com/OpenPecha/PB1458D48
P237D57AD,it,https://github.com/OpenPecha/P237D57AD
P5AEF5464,nl,https://github.com/OpenPecha/P5AEF5464
P902D4234,pt,https://github.com/OpenPecha/P902D4234
P92A2F17A,zh,https://github.com/OpenPecha/P92A2F17A
PEA34D30B,bo,https://github.com/OpenPecha/PEA34D30B
